ASCII Value,Hex value,Organization Name,Organization Address,Phone,Fax,Statement of intention to apply the assigned RID,Date of intended implementation of the RID,Name of Authorized Representative,Authorized Representative Title,Authorized Representative Address,Date Identifier Registered
AC-3,41-43-2D-33,Advanced Television Systems Committee,"1750 K Street NW , Suite 1200, Washington, DC 20006 USA",+1 202 828-3130,+1 202 828-3131,"The ATSC wishes to register the hex value 41-43-2D-33 (ASCII value ""AC-3"") as the audio elementary stream ID format_identifier. The ATSC standard requires that a registration_descriptor() appear in the audio elementary stream loop in the Program Map Table (PMT) to identify each audio elementary stream that conforms to ATSC A/52.",1995-10-16,Mark S. Richer,ATSC Executive Director,"1750 K Street NW , Suite 1200, Washington, DC 20006 USA",2000-05-22
ADFR,41-44-46-52,SNPTV,"6, place Abel Gance",+33141414321,,"Broadcasters members of SNPTV in France will use this RID into a Managed Private UPID structure, as described in SCTE-35,  for advertisement usages",2019-03-01,Vignon,Director Trade Lobby,"6, place Abel Gance",
AMCN,41-4d-43-4e,AMC Networks Inc.,"11 Penn Plaza
New York, NY 10001",1-646-393-8157,,"Usage for identifying program and break segmentation of linear broadcast channels.  ",2017-11-01,Steve Pontillo,EVP & CTO,"AMC Networks Broadcasting & Technology
620 Hicksville Road
Bethpage, NY  11714",2017-10-11
ARRS,41-52-52-53,"Arris Group, Inc.","1825 NW 167th Place, Beaverton, OR 97006, USA",+1 503 495-9240,+1 503 495-9600,"The RID will be used for Insertion, transmission and inspection of private data for various Arris products.",2010-10-01,Carl Seaton,Staff Systems Software Engineer,"Arris Group, Inc., 1825 NW 167th Place, Beaverton, OR 97006, USA",2010-09-14
AV01,41-56-30-31,Alliance for Open Media,"401 Edgewater Place, Suite 600, Wakefield, MA 01880 USA",+1 (781) 486-3868,,"AOM wishes to register the hex value 41-56-30-31 (ASCII value “AV01"") as the video elementary stream ID format_identifier for the AV1 video format. This format is used for delivery of AV1 services in the broadcast ecosystem (DVB, ATSC).",2022-01-01,Cyril Concolato,Chair of the Storage and Transport Format Working Group,"100 Winchester Cir, Los Gatos, CA 95032",
AVSA,41-56-53-41,Audio Video Coding Standard Working Group of China,"Room 310, Peony Venture Building, No.2 Huayuan RD. Haidian District, Beijing 100191, P.R. China",8613651039391,861082282177,"AVS wishes to register the hex value 41-56-53-41 (ASCII value ""AVSA"") and as the audio elementary stream ID format_identifier. The ATSC standard requires that a registration_descriptor() appear in the audio elementary stream loop in the Program Map Table (PMT) to identify each audio elementary stream that conforms to one Audio part of AVS standards.",2019-06-30,Haiying Zhao,Standard department manager,"Room 310, Peony Venture Building, No.2 Huayuan RD. Haidian District, Beijing 100191, P.R. China",
AVSV,41-56-53-56,Audio Video Coding Standard Working Group of China,"Room 701,Power Creative A Building No.1, Shangdi East Road, Haidian District, Beijing, P R China ZIP:100085",+86-10-58858303,+86-10-58858301,"AVS wishes to register the hex value 41-56-53-56 (ASCII value ""AVSV"") as the video elementary stream ID format_identifier. The AVS standard requires that a registration_descriptor() appear in the video elementary stream loop in the Program Map Table (PMT) to identify each video elementary stream that conforms to one Video part of AVS standards.",2006-03-16,Huang Tiejun,Dr.,"P.O.Box 2704£¬Subbox 31 Beijing, China P R China Zip code: 100080",2006-05-31
BDC0,42-44-43-30,Broadcast Data Corporation,"34 Hayden Rowe Street, Suite 300, Hopkinton, MA 01748 USA",+1 267 295-8095,+1 267 295-7304,"Broadcast Data Corporation Update TV Software Data Download Service Carousel 0x00",2006-02-01,Steve Hastings,VP Engineering,"34 Hayden Rowe Street, Suite 300, Hopkinton, MA 01748 USA",2006-01-23
BSSD,42-53-53-44,Society of Motion Picture and Television Engineers,"3 Barker Avenue, White Plains, NY 10601 USA",+1 914 761-1100,+1 914 761-3115,"Audio data as specified in SMPTE Standard SMPTE 302M-1998 for Television - Mapping of AES3 Data into MPEG-2 Transport Stream shall use this format_identifier.",1998-09-08,Peter Symes,"Director, Standards & Engineering","3 Barker Avenue, White Plains, NY 10601 USA",2000-04-19
CAPO,43-41-50-4f,SMPTE,"3 Barker Ave.
White Plains, NY 10601, USA",+1 (914) 761-1100,+1 (914) 761-3115,"SMPTE 315M-1999 SMPTE STANDARD for Television -- Camera Positioning Information Conveyed by Ancillary Data Packets, Clause 5 - User data words, 5.1 SMPTE universal label (LABEL) - The 16 words UDW 0-15 carry the SMPTE-administered universal label to identify the class of metadata camera positioning information. The 4 words UDW 8-11 are the ISO/IEC 13818-1 (MPEG) registration identifier.",1999-07-01,Peter Symes,"Director, Standards & Engineering","3 Barker Ave.
White Plains, NY 10601, USA",2003-07-02
